Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6MZ7wWLT1jd2oF21p3TPKl,"5BSvQ8klrDFPpCJ3TujFoK,7hvD2Cs8fbF3HvhQCmV3xq","Driving Mad","Driving Mad","Carbon,Lampe",2021-10-15,360007,42,spotify:user:groovebassment,2022-05-08T16:16:16Z,"melodic techno,psytech",0.8,0.836,2,-7.413,1,0.0562,0.00051,0.846,0.0763,0.08,127.015,4
75zvxv772BduFm1dDuJICQ,"6pDZzvzwjGXunH8FCb2ulo,4y5skZOiZ7Hu5nix8mJlkl,6ibx2SfjKi1ikBCcIJobLP","Eaze The Pressure","Eaze The Pressure","m.O.N.R.O.E.,Ben Seagren,Kyla Millette",2022-06-24,356129,27,spotify:user:groovebassment,2022-07-02T12:00:47Z,"",0.802,0.721,1,-6.01,1,0.048,0.00039,0.878,0.0791,0.434,124.006,4
4K7SNSClE8UWzRPpNtOs8M,"2e9kCl7laD7bkZLLAnkKTU","All I Want - Original Mix","All I Want","The Archer",2022-08-19,243809,32,spotify:user:groovebassment,2022-08-26T23:51:27Z,"",0.799,0.86,9,-5.688,1,0.0854,0.000786,0.884,0.0677,0.496,125.995,4
05HuZfJbIjBUgDEmMCmw1j,"3jGc6igIVzjC0ElXKbsfHd","Dream Reise","Showtime","Mauro Somm",2022-04-29,475504,8,spotify:user:groovebassment,2022-05-08T16:16:16Z,"",0.628,0.877,11,-6.806,0,0.068,0.00206,0.81,0.112,0.125,131.023,4
6Jq60qpC6EeD0tUeRbPM2m,"0u1M59PvHe4xP7dhzi2ccm","Sabotage","Sabotage EP","Uncertain",2022-04-22,323321,25,spotify:user:groovebassment,2022-05-08T16:16:16Z,"",0.631,0.977,6,-7.34,0,0.102,0.00057,0.844,0.0908,0.313,137.003,4
1vcsMTT7FH4fwQrnv7qmqs,"2q29ZUNAcXD41GZEYD20t3","Valkyrie","Tremor","Renejka",2022-09-22,484000,13,spotify:user:groovebassment,2022-10-07T22:00:52Z,"",0.758,0.739,2,-11.569,0,0.0543,0.518,0.821,0.0912,0.201,120.027,4
5T1fza9F8TTuB1pGqDGziH,"1k7Cc2WGh6LAE1TUh6dsiy","Deep State","Deep State","Dark Heart",2022-04-29,172800,34,spotify:user:groovebassment,2022-05-08T16:16:16Z,"",0.749,0.944,4,-5.537,1,0.117,0.00398,0.253,0.214,0.244,124.997,4
2mLtgJpwlNWX81WJb4LRqo,"7dOFFyV8UVZqmapj8yUDRT","Roller Prowler","Gradual Disruption","NoNameLeft",2022-04-18,400629,11,spotify:user:groovebassment,2022-05-08T16:16:16Z,"",0.699,0.864,4,-7.773,0,0.0655,0.0129,0.869,0.139,0.422,127.011,4
1RSWaZyvRpifbQ863a2I15,"3IpAthjvdkddgfMSsURuMF","Rebirth","More Drums Please","D-Unity",2022-04-08,349411,12,spotify:user:groovebassment,2022-05-08T16:16:16Z,"",0.744,0.898,11,-6.664,1,0.0525,0.000813,0.905,0.312,0.0746,135.992,4
2RkfSExu38UToiG5RYnd9B,"5BSvQ8klrDFPpCJ3TujFoK","Free Your Head","Free Your Head","Carbon",2022-04-22,413372,18,spotify:user:groovebassment,2022-05-08T16:16:16Z,"melodic techno",0.801,0.808,11,-6.948,1,0.0433,0.00154,0.852,0.0705,0.238,126.01,4
1d5i9SKikUbcMPcQMkir3B,"0vkvkNBVrXTfgkuPqI7JgL,3TjaJhMjmHioA1sttepqqh","Take Your Pills","Demente","Andres Campo,Ada Byron",2022-04-15,376593,24,spotify:user:groovebassment,2022-05-08T16:16:16Z,"spanish techno",0.7,0.948,7,-6.679,1,0.048,0.00315,0.863,0.108,0.329,133.989,4
